,,,Up_SR,Down_SR,Up_TR,Down_TR
period1,sc01,t1962, 45 , 45 ,,
period1,sc01,t1963, 45 , 45 ,,
period1,sc01,t1964, 45 , 45 ,,
period1,sc01,t1965, 45 , 45 ,,
period1,sc01,t1966, 45 , 45 ,,
period1,sc01,t1967, 45 , 45 ,,
period1,sc01,t1968, 45 , 45 ,,
period1,sc01,t1969, 45 , 45 ,,
period1,sc01,t1970, 45 , 45 ,,
period1,sc01,t1971, 45 , 45 ,,
period1,sc01,t1972, 45 , 45 ,,
period1,sc01,t1973, 45 , 45 ,,
period1,sc01,t1974, 45 , 45 ,,
period1,sc01,t1975, 45 , 45 ,,
period1,sc01,t1976, 45 , 45 ,,
period1,sc01,t1977, 45 , 45 ,,
period1,sc01,t1978, 45 , 45 ,,
period1,sc01,t1979, 10 , 10 ,,
period1,sc01,t1980, 10 , 10 ,,
period1,sc01,t1981, 10 , 10 ,,
period1,sc01,t1982, 10 , 10 ,,
period1,sc01,t1983, 10 , 10 ,,
period1,sc01,t1984, 10 , 10 ,,
period1,sc01,t1985, 45 , 45 ,,
period1,sc01,t1986, 45 , 45 ,,
period1,sc01,t1987, 45 , 45 ,,
period1,sc01,t1988, 45 , 45 ,,
period1,sc01,t1989, 45 , 45 ,,
period1,sc01,t1990, 45 , 45 ,,
period1,sc01,t1991, 45 , 45 ,,
period1,sc01,t1992, 45 , 45 ,,
period1,sc01,t1993, 45 , 45 ,,
period1,sc01,t1994, 45 , 45 ,,
period1,sc01,t1995, 45 , 45 ,,
period1,sc01,t1996, 45 , 45 ,,
period1,sc01,t1997, 45 , 45 ,,
period1,sc01,t1998, 45 , 45 ,,
period1,sc01,t1999, 45 , 45 ,,
period1,sc01,t2000, 45 , 45 ,,
period1,sc01,t2001, 45 , 45 ,,
period1,sc01,t2002, 45 , 45 ,,
period1,sc01,t2003, 10 , 10 ,,
period1,sc01,t2004, 10 , 10 ,,
period1,sc01,t2005, 10 , 10 ,,
period1,sc01,t2006, 10 , 10 ,,
period1,sc01,t2007, 10 , 10 ,,
period1,sc01,t2008, 10 , 10 ,,
period1,sc01,t2009, 45 , 45 ,,
period1,sc01,t2010, 45 , 45 ,,
period1,sc01,t2011, 45 , 45 ,,
period1,sc01,t2012, 45 , 45 ,,
period1,sc01,t2013, 45 , 45 ,,
period1,sc01,t2014, 45 , 45 ,,
period1,sc01,t2015, 45 , 45 ,,
period1,sc01,t2016, 45 , 45 ,,
period1,sc01,t2017, 45 , 45 ,,
period1,sc01,t2018, 45 , 45 ,,
period1,sc01,t2019, 45 , 45 ,,
period1,sc01,t2020, 45 , 45 ,,
period1,sc01,t2021, 45 , 45 ,,
period1,sc01,t2022, 45 , 45 ,,
period1,sc01,t2023, 45 , 45 ,,
period1,sc01,t2024, 45 , 45 ,,
period1,sc01,t2025, 45 , 45 ,,
period1,sc01,t2026, 45 , 45 ,,
period1,sc01,t2027, 10 , 10 ,,
period1,sc01,t2028, 10 , 10 ,,
period1,sc01,t2029, 10 , 10 ,,
period1,sc01,t2030, 10 , 10 ,,
period1,sc01,t2031, 10 , 10 ,,
period1,sc01,t2032, 10 , 10 ,,
period1,sc01,t2033, 45 , 45 ,,
period1,sc01,t2034, 45 , 45 ,,
period1,sc01,t2035, 45 , 45 ,,
period1,sc01,t2036, 45 , 45 ,,
period1,sc01,t2037, 45 , 45 ,,
period1,sc01,t2038, 45 , 45 ,,
period1,sc01,t2039, 45 , 45 ,,
period1,sc01,t2040, 45 , 45 ,,
period1,sc01,t2041, 45 , 45 ,,
period1,sc01,t2042, 45 , 45 ,,
period1,sc01,t2043, 45 , 45 ,,
period1,sc01,t2044, 45 , 45 ,,
period1,sc01,t2045, 45 , 45 ,,
period1,sc01,t2046, 45 , 45 ,,
period1,sc01,t2047, 45 , 45 ,,
period1,sc01,t2048, 45 , 45 ,,
period1,sc01,t2049, 45 , 45 ,,
period1,sc01,t2050, 45 , 45 ,,
period1,sc01,t2051, 10 , 10 ,,
period1,sc01,t2052, 10 , 10 ,,
period1,sc01,t2053, 10 , 10 ,,
period1,sc01,t2054, 10 , 10 ,,
period1,sc01,t2055, 10 , 10 ,,
period1,sc01,t2056, 10 , 10 ,,
period1,sc01,t2057, 45 , 45 ,,
period1,sc01,t2058, 45 , 45 ,,
period1,sc01,t2059, 45 , 45 ,,
period1,sc01,t2060, 45 , 45 ,,
period1,sc01,t2061, 45 , 45 ,,
period1,sc01,t2062, 45 , 45 ,,
period1,sc01,t2063, 45 , 45 ,,
period1,sc01,t2064, 45 , 45 ,,
period1,sc01,t2065, 45 , 45 ,,
period1,sc01,t2066, 45 , 45 ,,
period1,sc01,t2067, 45 , 45 ,,
period1,sc01,t2068, 45 , 45 ,,
period1,sc01,t2069, 45 , 45 ,,
period1,sc01,t2070, 45 , 45 ,,
period1,sc01,t2071, 45 , 45 ,,
period1,sc01,t2072, 45 , 45 ,,
period1,sc01,t2073, 45 , 45 ,,
period1,sc01,t2074, 45 , 45 ,,
period1,sc01,t2075, 10 , 10 ,,
period1,sc01,t2076, 10 , 10 ,,
period1,sc01,t2077, 10 , 10 ,,
period1,sc01,t2078, 10 , 10 ,,
period1,sc01,t2079, 10 , 10 ,,
period1,sc01,t2080, 10 , 10 ,,
period1,sc01,t2081, 45 , 45 ,,
period1,sc01,t2082, 45 , 45 ,,
period1,sc01,t2083, 45 , 45 ,,
period1,sc01,t2084, 45 , 45 ,,
period1,sc01,t2085, 45 , 45 ,,
period1,sc01,t2086, 45 , 45 ,,
period1,sc01,t2087, 45 , 45 ,,
period1,sc01,t2088, 45 , 45 ,,
period1,sc01,t2089, 45 , 45 ,,
period1,sc01,t2090, 45 , 45 ,,
period1,sc01,t2091, 45 , 45 ,,
period1,sc01,t2092, 45 , 45 ,,
period1,sc01,t2093, 45 , 45 ,,
period1,sc01,t2094, 45 , 45 ,,
period1,sc01,t2095, 45 , 45 ,,
period1,sc01,t2096, 45 , 45 ,,
period1,sc01,t2097, 45 , 45 ,,
period1,sc01,t2098, 45 , 45 ,,
period1,sc01,t2099, 10 , 10 ,,
period1,sc01,t2100, 10 , 10 ,,
period1,sc01,t2101, 10 , 10 ,,
period1,sc01,t2102, 10 , 10 ,,
period1,sc01,t2103, 10 , 10 ,,
period1,sc01,t2104, 10 , 10 ,,
period1,sc01,t2105, 45 , 45 ,,
period1,sc01,t2106, 45 , 45 ,,
period1,sc01,t2107, 45 , 45 ,,
period1,sc01,t2108, 45 , 45 ,,
period1,sc01,t2109, 45 , 45 ,,
period1,sc01,t2110, 45 , 45 ,,
period1,sc01,t2111, 45 , 45 ,,
period1,sc01,t2112, 45 , 45 ,,
period1,sc01,t2113, 45 , 45 ,,
period1,sc01,t2114, 45 , 45 ,,
period1,sc01,t2115, 45 , 45 ,,
period1,sc01,t2116, 45 , 45 ,,
period1,sc01,t2117, 45 , 45 ,,
period1,sc01,t2118, 45 , 45 ,,
period1,sc01,t2119, 45 , 45 ,,
period1,sc01,t2120, 45 , 45 ,,
period1,sc01,t2121, 45 , 45 ,,
period1,sc01,t2122, 45 , 45 ,,
period1,sc01,t2123, 10 , 10 ,,
period1,sc01,t2124, 10 , 10 ,,
period1,sc01,t2125, 10 , 10 ,,
period1,sc01,t2126, 10 , 10 ,,
period1,sc01,t2127, 10 , 10 ,,
period1,sc01,t2128, 10 , 10 ,,
period1,sc01,t2129, 45 , 45 ,,
period1,sc01,t2130, 45 , 45 ,,
period1,sc01,t2131, 45 , 45 ,,
period1,sc01,t2132, 45 , 45 ,,
period1,sc01,t2133, 45 , 45 ,,
period1,sc01,t2134, 45 , 45 ,,
period1,sc01,t2135, 45 , 45 ,,
period1,sc01,t2136, 45 , 45 ,,
period1,sc01,t2137, 45 , 45 ,,
period1,sc01,t2138, 45 , 45 ,,
period1,sc01,t2139, 45 , 45 ,,
period1,sc01,t2140, 45 , 45 ,,
period1,sc01,t2141, 45 , 45 ,,
period1,sc01,t2142, 45 , 45 ,,
period1,sc01,t2143, 45 , 45 ,,
period1,sc01,t2144, 45 , 45 ,,
period1,sc01,t2145, 45 , 45 ,,
period1,sc01,t2146, 45 , 45 ,,
period1,sc01,t2147, 10 , 10 ,,
period1,sc01,t2148, 10 , 10 ,,
period1,sc01,t2149, 10 , 10 ,,
period1,sc01,t2150, 10 , 10 ,,
period1,sc01,t2151, 10 , 10 ,,
period1,sc01,t2152, 10 , 10 ,,
period1,sc01,t2153, 45 , 45 ,,
period1,sc01,t2154, 45 , 45 ,,
period1,sc01,t2155, 45 , 45 ,,
period1,sc01,t2156, 45 , 45 ,,
period1,sc01,t2157, 45 , 45 ,,
period1,sc01,t2158, 45 , 45 ,,
period1,sc01,t2159, 45 , 45 ,,
period1,sc01,t2160, 45 , 45 ,,
period1,sc01,t2161, 45 , 45 ,,
period1,sc01,t2162, 45 , 45 ,,
period1,sc01,t2163, 45 , 45 ,,
period1,sc01,t2164, 45 , 45 ,,
period1,sc01,t2165, 45 , 45 ,,
period1,sc01,t2166, 45 , 45 ,,
period1,sc01,t2167, 45 , 45 ,,
period1,sc01,t2168, 45 , 45 ,,
period1,sc01,t2169, 45 , 45 ,,
period1,sc01,t2170, 45 , 45 ,,
period1,sc01,t2171, 10 , 10 ,,
period1,sc01,t2172, 10 , 10 ,,
period1,sc01,t2173, 10 , 10 ,,
period1,sc01,t2174, 10 , 10 ,,
period1,sc01,t2175, 10 , 10 ,,
period1,sc01,t2176, 10 , 10 ,,
period1,sc01,t2177, 45 , 45 ,,
period1,sc01,t2178, 45 , 45 ,,
period1,sc01,t2179, 45 , 45 ,,
period1,sc01,t2180, 45 , 45 ,,
period1,sc01,t2181, 45 , 45 ,,
period1,sc01,t2182, 45 , 45 ,,
period1,sc01,t2183, 45 , 45 ,,
period1,sc01,t2184, 45 , 45 ,,
period1,sc01,t2185, 45 , 45 ,,
period1,sc01,t2186, 45 , 45 ,,
period1,sc01,t2187, 45 , 45 ,,
period1,sc01,t2188, 45 , 45 ,,
period1,sc01,t2189, 45 , 45 ,,
period1,sc01,t2190, 45 , 45 ,,
period1,sc01,t2191, 45 , 45 ,,
period1,sc01,t2192, 45 , 45 ,,
period1,sc01,t2193, 45 , 45 ,,
period1,sc01,t2194, 45 , 45 ,,
period1,sc01,t2195, 10 , 10 ,,
period1,sc01,t2196, 10 , 10 ,,
period1,sc01,t2197, 10 , 10 ,,
period1,sc01,t2198, 10 , 10 ,,
period1,sc01,t2199, 10 , 10 ,,
period1,sc01,t2200, 10 , 10 ,,
period1,sc01,t2201, 45 , 45 ,,
period1,sc01,t2202, 45 , 45 ,,
period1,sc01,t2203, 45 , 45 ,,
period1,sc01,t2204, 45 , 45 ,,
period1,sc01,t2205, 45 , 45 ,,
period1,sc01,t2206, 45 , 45 ,,
period1,sc01,t2207, 45 , 45 ,,
period1,sc01,t2208, 45 , 45 ,,
period1,sc01,t2209, 45 , 45 ,,
period1,sc01,t2210, 45 , 45 ,,
period1,sc01,t2211, 45 , 45 ,,
period1,sc01,t2212, 45 , 45 ,,
period1,sc01,t2213, 45 , 45 ,,
period1,sc01,t2214, 45 , 45 ,,
period1,sc01,t2215, 45 , 45 ,,
period1,sc01,t2216, 45 , 45 ,,
period1,sc01,t2217, 45 , 45 ,,
period1,sc01,t2218, 45 , 45 ,,
period1,sc01,t2219, 10 , 10 ,,
period1,sc01,t2220, 10 , 10 ,,
period1,sc01,t2221, 10 , 10 ,,
period1,sc01,t2222, 10 , 10 ,,
period1,sc01,t2223, 10 , 10 ,,
period1,sc01,t2224, 10 , 10 ,,
period1,sc01,t2225, 45 , 45 ,,
period1,sc01,t2226, 45 , 45 ,,
period1,sc01,t2227, 45 , 45 ,,
period1,sc01,t2228, 45 , 45 ,,
period1,sc01,t2229, 45 , 45 ,,
period1,sc01,t2230, 45 , 45 ,,
period1,sc01,t2231, 45 , 45 ,,
period1,sc01,t2232, 45 , 45 ,,
period1,sc01,t2233, 45 , 45 ,,
period1,sc01,t2234, 45 , 45 ,,
period1,sc01,t2235, 45 , 45 ,,
period1,sc01,t2236, 45 , 45 ,,
period1,sc01,t2237, 45 , 45 ,,
period1,sc01,t2238, 45 , 45 ,,
period1,sc01,t2239, 45 , 45 ,,
period1,sc01,t2240, 45 , 45 ,,
period1,sc01,t2241, 45 , 45 ,,
period1,sc01,t2242, 45 , 45 ,,
period1,sc01,t2243, 10 , 10 ,,
period1,sc01,t2244, 10 , 10 ,,
period1,sc01,t2245, 10 , 10 ,,
period1,sc01,t2246, 10 , 10 ,,
period1,sc01,t2247, 10 , 10 ,,
period1,sc01,t2248, 10 , 10 ,,
period1,sc01,t2249, 45 , 45 ,,
period1,sc01,t2250, 45 , 45 ,,
period1,sc01,t2251, 45 , 45 ,,
period1,sc01,t2252, 45 , 45 ,,
period1,sc01,t2253, 45 , 45 ,,
period1,sc01,t2254, 45 , 45 ,,
period1,sc01,t2255, 45 , 45 ,,
period1,sc01,t2256, 45 , 45 ,,
period1,sc01,t2257, 45 , 45 ,,
period1,sc01,t2258, 45 , 45 ,,
period1,sc01,t2259, 45 , 45 ,,
period1,sc01,t2260, 45 , 45 ,,
period1,sc01,t2261, 45 , 45 ,,
period1,sc01,t2262, 45 , 45 ,,
period1,sc01,t2263, 45 , 45 ,,
period1,sc01,t2264, 45 , 45 ,,
period1,sc01,t2265, 45 , 45 ,,
period1,sc01,t2266, 45 , 45 ,,
period1,sc01,t2267, 10 , 10 ,,
period1,sc01,t2268, 10 , 10 ,,
period1,sc01,t2269, 10 , 10 ,,
period1,sc01,t2270, 10 , 10 ,,
period1,sc01,t2271, 10 , 10 ,,
period1,sc01,t2272, 10 , 10 ,,
period1,sc01,t2273, 45 , 45 ,,
period1,sc01,t2274, 45 , 45 ,,
period1,sc01,t2275, 45 , 45 ,,
period1,sc01,t2276, 45 , 45 ,,
period1,sc01,t2277, 45 , 45 ,,
period1,sc01,t2278, 45 , 45 ,,
period1,sc01,t2279, 45 , 45 ,,
period1,sc01,t2280, 45 , 45 ,,
period1,sc01,t2281, 45 , 45 ,,
period1,sc01,t2282, 45 , 45 ,,
period1,sc01,t2283, 45 , 45 ,,
period1,sc01,t2284, 45 , 45 ,,
period1,sc01,t2285, 45 , 45 ,,
period1,sc01,t2286, 45 , 45 ,,
period1,sc01,t2287, 45 , 45 ,,
period1,sc01,t2288, 45 , 45 ,,
period1,sc01,t2289, 45 , 45 ,,
period1,sc01,t2290, 45 , 45 ,,
period1,sc01,t2291, 10 , 10 ,,
period1,sc01,t2292, 10 , 10 ,,
period1,sc01,t2293, 10 , 10 ,,
period1,sc01,t2294, 10 , 10 ,,
period1,sc01,t2295, 10 , 10 ,,
period1,sc01,t2296, 10 , 10 ,,
period1,sc01,t2297, 45 , 45 ,,
period1,sc01,t2298, 45 , 45 ,,
period1,sc01,t2299, 45 , 45 ,,
period1,sc01,t2300, 45 , 45 ,,
period1,sc01,t2301, 45 , 45 ,,
period1,sc01,t2302, 45 , 45 ,,
period1,sc01,t2303, 45 , 45 ,,
period1,sc01,t2304, 45 , 45 ,,
period1,sc01,t2305, 45 , 45 ,,
period1,sc01,t2306, 45 , 45 ,,
period1,sc01,t2307, 45 , 45 ,,
period1,sc01,t2308, 45 , 45 ,,
period1,sc01,t2309, 45 , 45 ,,
period1,sc01,t2310, 45 , 45 ,,
period1,sc01,t2311, 45 , 45 ,,
period1,sc01,t2312, 45 , 45 ,,
period1,sc01,t2313, 45 , 45 ,,
period1,sc01,t2314, 45 , 45 ,,
period1,sc01,t2315, 10 , 10 ,,
period1,sc01,t2316, 10 , 10 ,,
period1,sc01,t2317, 10 , 10 ,,
period1,sc01,t2318, 10 , 10 ,,
period1,sc01,t2319, 10 , 10 ,,
period1,sc01,t2320, 10 , 10 ,,
period1,sc01,t2321, 45 , 45 ,,
period1,sc01,t2322, 45 , 45 ,,
period1,sc01,t2323, 45 , 45 ,,
period1,sc01,t2324, 45 , 45 ,,
period1,sc01,t2325, 45 , 45 ,,
period1,sc01,t2326, 45 , 45 ,,
period1,sc01,t2327, 45 , 45 ,,
period1,sc01,t2328, 45 , 45 ,,
period1,sc01,t2329, 45 , 45 ,,
period1,sc01,t2330, 45 , 45 ,,
period1,sc01,t2331, 45 , 45 ,,
period1,sc01,t2332, 45 , 45 ,,
period1,sc01,t2333, 45 , 45 ,,
period1,sc01,t2334, 45 , 45 ,,
period1,sc01,t2335, 45 , 45 ,,
period1,sc01,t2336, 45 , 45 ,,
period1,sc01,t2337, 45 , 45 ,,
period1,sc01,t2338, 45 , 45 ,,
period1,sc01,t2339, 10 , 10 ,,
period1,sc01,t2340, 10 , 10 ,,
period1,sc01,t2341, 10 , 10 ,,
period1,sc01,t2342, 10 , 10 ,,
period1,sc01,t2343, 10 , 10 ,,
period1,sc01,t2344, 10 , 10 ,,
period1,sc01,t2345, 45 , 45 ,,
period1,sc01,t2346, 45 , 45 ,,
period1,sc01,t2347, 45 , 45 ,,
period1,sc01,t2348, 45 , 45 ,,
period1,sc01,t2349, 45 , 45 ,,
period1,sc01,t2350, 45 , 45 ,,
period1,sc01,t2351, 45 , 45 ,,
period1,sc01,t2352, 45 , 45 ,,
period1,sc01,t2353, 45 , 45 ,,
period1,sc01,t2354, 45 , 45 ,,
period1,sc01,t2355, 45 , 45 ,,
period1,sc01,t2356, 45 , 45 ,,
period1,sc01,t2357, 45 , 45 ,,
period1,sc01,t2358, 45 , 45 ,,
period1,sc01,t2359, 45 , 45 ,,
period1,sc01,t2360, 45 , 45 ,,
period1,sc01,t2361, 45 , 45 ,,
period1,sc01,t2362, 45 , 45 ,,
period1,sc01,t2363, 10 , 10 ,,
period1,sc01,t2364, 10 , 10 ,,
period1,sc01,t2365, 10 , 10 ,,
period1,sc01,t2366, 10 , 10 ,,
period1,sc01,t2367, 10 , 10 ,,
period1,sc01,t2368, 10 , 10 ,,
period1,sc01,t2369, 45 , 45 ,,
period1,sc01,t2370, 45 , 45 ,,
period1,sc01,t2371, 45 , 45 ,,
period1,sc01,t2372, 45 , 45 ,,
period1,sc01,t2373, 45 , 45 ,,
period1,sc01,t2374, 45 , 45 ,,
period1,sc01,t2375, 45 , 45 ,,
period1,sc01,t2376, 45 , 45 ,,
period1,sc01,t2377, 45 , 45 ,,
period1,sc01,t2378, 45 , 45 ,,
period1,sc01,t2379, 45 , 45 ,,
period1,sc01,t2380, 45 , 45 ,,
period1,sc01,t2381, 45 , 45 ,,
period1,sc01,t2382, 45 , 45 ,,
period1,sc01,t2383, 45 , 45 ,,
period1,sc01,t2384, 45 , 45 ,,
period1,sc01,t2385, 45 , 45 ,,
period1,sc01,t2386, 45 , 45 ,,
period1,sc01,t2387, 10 , 10 ,,
period1,sc01,t2388, 10 , 10 ,,
period1,sc01,t2389, 10 , 10 ,,
period1,sc01,t2390, 10 , 10 ,,
period1,sc01,t2391, 10 , 10 ,,
period1,sc01,t2392, 10 , 10 ,,
period1,sc01,t2393, 45 , 45 ,,
period1,sc01,t2394, 45 , 45 ,,
period1,sc01,t2395, 45 , 45 ,,
period1,sc01,t2396, 45 , 45 ,,
period1,sc01,t2397, 45 , 45 ,,
period1,sc01,t2398, 45 , 45 ,,
period1,sc01,t2399, 45 , 45 ,,
period1,sc01,t2400, 45 , 45 ,,
period1,sc01,t2401, 45 , 45 ,,
period1,sc01,t2402, 45 , 45 ,,
period1,sc01,t2403, 45 , 45 ,,
period1,sc01,t2404, 45 , 45 ,,
period1,sc01,t2405, 45 , 45 ,,
period1,sc01,t2406, 45 , 45 ,,
period1,sc01,t2407, 45 , 45 ,,
period1,sc01,t2408, 45 , 45 ,,
period1,sc01,t2409, 45 , 45 ,,
period1,sc01,t2410, 45 , 45 ,,
period1,sc01,t2411, 10 , 10 ,,
period1,sc01,t2412, 10 , 10 ,,
period1,sc01,t2413, 10 , 10 ,,
period1,sc01,t2414, 10 , 10 ,,
period1,sc01,t2415, 10 , 10 ,,
period1,sc01,t2416, 10 , 10 ,,
period1,sc01,t2417, 45 , 45 ,,
period1,sc01,t2418, 45 , 45 ,,
period1,sc01,t2419, 45 , 45 ,,
period1,sc01,t2420, 45 , 45 ,,
period1,sc01,t2421, 45 , 45 ,,
period1,sc01,t2422, 45 , 45 ,,
period1,sc01,t2423, 45 , 45 ,,
period1,sc01,t2424, 45 , 45 ,,
period1,sc01,t2425, 45 , 45 ,,
period1,sc01,t2426, 45 , 45 ,,
period1,sc01,t2427, 45 , 45 ,,
period1,sc01,t2428, 45 , 45 ,,
period1,sc01,t2429, 45 , 45 ,,
period1,sc01,t2430, 45 , 45 ,,
period1,sc01,t2431, 45 , 45 ,,
period1,sc01,t2432, 45 , 45 ,,
period1,sc01,t2433, 45 , 45 ,,
period1,sc01,t2434, 45 , 45 ,,
period1,sc01,t2435, 10 , 10 ,,
period1,sc01,t2436, 10 , 10 ,,
period1,sc01,t2437, 10 , 10 ,,
period1,sc01,t2438, 10 , 10 ,,
period1,sc01,t2439, 10 , 10 ,,
period1,sc01,t2440, 10 , 10 ,,
period1,sc01,t2441, 45 , 45 ,,
period1,sc01,t2442, 45 , 45 ,,
period1,sc01,t2443, 45 , 45 ,,
period1,sc01,t2444, 45 , 45 ,,
period1,sc01,t2445, 45 , 45 ,,
period1,sc01,t2446, 45 , 45 ,,
period1,sc01,t2447, 45 , 45 ,,
period1,sc01,t2448, 45 , 45 ,,
period1,sc01,t2449, 45 , 45 ,,
period1,sc01,t2450, 45 , 45 ,,
period1,sc01,t2451, 45 , 45 ,,
period1,sc01,t2452, 45 , 45 ,,
period1,sc01,t2453, 45 , 45 ,,
period1,sc01,t2454, 45 , 45 ,,
period1,sc01,t2455, 45 , 45 ,,
period1,sc01,t2456, 45 , 45 ,,
period1,sc01,t2457, 45 , 45 ,,
period1,sc01,t2458, 45 , 45 ,,
period1,sc01,t2459, 10 , 10 ,,
period1,sc01,t2460, 10 , 10 ,,
period1,sc01,t2461, 10 , 10 ,,
period1,sc01,t2462, 10 , 10 ,,
period1,sc01,t2463, 10 , 10 ,,
period1,sc01,t2464, 10 , 10 ,,
period1,sc01,t2465, 45 , 45 ,,
period1,sc01,t2466, 45 , 45 ,,
period1,sc01,t2467, 45 , 45 ,,
period1,sc01,t2468, 45 , 45 ,,
period1,sc01,t2469, 45 , 45 ,,
period1,sc01,t2470, 45 , 45 ,,
period1,sc01,t2471, 45 , 45 ,,
period1,sc01,t2472, 45 , 45 ,,
period1,sc01,t2473, 45 , 45 ,,
period1,sc01,t2474, 45 , 45 ,,
period1,sc01,t2475, 45 , 45 ,,
period1,sc01,t2476, 45 , 45 ,,
period1,sc01,t2477, 45 , 45 ,,
period1,sc01,t2478, 45 , 45 ,,
period1,sc01,t2479, 45 , 45 ,,
period1,sc01,t2480, 45 , 45 ,,
period1,sc01,t2481, 45 , 45 ,,
period1,sc01,t2482, 45 , 45 ,,
period1,sc01,t2483, 10 , 10 ,,
period1,sc01,t2484, 10 , 10 ,,
period1,sc01,t2485, 10 , 10 ,,
period1,sc01,t2486, 10 , 10 ,,
period1,sc01,t2487, 10 , 10 ,,
period1,sc01,t2488, 10 , 10 ,,
period1,sc01,t2489, 45 , 45 ,,
period1,sc01,t2490, 45 , 45 ,,
period1,sc01,t2491, 45 , 45 ,,
period1,sc01,t2492, 45 , 45 ,,
period1,sc01,t2493, 45 , 45 ,,
period1,sc01,t2494, 45 , 45 ,,
period1,sc01,t2495, 45 , 45 ,,
period1,sc01,t2496, 45 , 45 ,,
period1,sc01,t2497, 45 , 45 ,,
period1,sc01,t2498, 45 , 45 ,,
period1,sc01,t2499, 45 , 45 ,,
period1,sc01,t2500, 45 , 45 ,,
period1,sc01,t2501, 45 , 45 ,,
period1,sc01,t2502, 45 , 45 ,,
period1,sc01,t2503, 45 , 45 ,,
period1,sc01,t2504, 45 , 45 ,,
period1,sc01,t2505, 45 , 45 ,,
period1,sc01,t2506, 45 , 45 ,,
period1,sc01,t2507, 10 , 10 ,,
period1,sc01,t2508, 10 , 10 ,,
period1,sc01,t2509, 10 , 10 ,,
period1,sc01,t2510, 10 , 10 ,,
period1,sc01,t2511, 10 , 10 ,,
period1,sc01,t2512, 10 , 10 ,,
period1,sc01,t2513, 45 , 45 ,,
period1,sc01,t2514, 45 , 45 ,,
period1,sc01,t2515, 45 , 45 ,,
period1,sc01,t2516, 45 , 45 ,,
period1,sc01,t2517, 45 , 45 ,,
period1,sc01,t2518, 45 , 45 ,,
period1,sc01,t2519, 45 , 45 ,,
period1,sc01,t2520, 45 , 45 ,,
period1,sc01,t2521, 45 , 45 ,,
period1,sc01,t2522, 45 , 45 ,,
period1,sc01,t2523, 45 , 45 ,,
period1,sc01,t2524, 45 , 45 ,,
period1,sc01,t2525, 45 , 45 ,,
period1,sc01,t2526, 45 , 45 ,,
period1,sc01,t2527, 45 , 45 ,,
period1,sc01,t2528, 45 , 45 ,,
period1,sc01,t2529, 45 , 45 ,,
period1,sc01,t2530, 45 , 45 ,,
period1,sc01,t2531, 10 , 10 ,,
period1,sc01,t2532, 10 , 10 ,,
period1,sc01,t2533, 10 , 10 ,,
period1,sc01,t2534, 10 , 10 ,,
period1,sc01,t2535, 10 , 10 ,,
period1,sc01,t2536, 10 , 10 ,,
period1,sc01,t2537, 45 , 45 ,,
period1,sc01,t2538, 45 , 45 ,,
period1,sc01,t2539, 45 , 45 ,,
period1,sc01,t2540, 45 , 45 ,,
period1,sc01,t2541, 45 , 45 ,,
period1,sc01,t2542, 45 , 45 ,,
period1,sc01,t2543, 45 , 45 ,,
period1,sc01,t2544, 45 , 45 ,,
period1,sc01,t2545, 45 , 45 ,,
period1,sc01,t2546, 45 , 45 ,,
period1,sc01,t2547, 45 , 45 ,,
period1,sc01,t2548, 45 , 45 ,,
period1,sc01,t2549, 45 , 45 ,,
period1,sc01,t2550, 45 , 45 ,,
period1,sc01,t2551, 45 , 45 ,,
period1,sc01,t2552, 45 , 45 ,,
period1,sc01,t2553, 45 , 45 ,,
period1,sc01,t2554, 45 , 45 ,,
period1,sc01,t2555, 10 , 10 ,,
period1,sc01,t2556, 10 , 10 ,,
period1,sc01,t2557, 10 , 10 ,,
period1,sc01,t2558, 10 , 10 ,,
period1,sc01,t2559, 10 , 10 ,,
period1,sc01,t2560, 10 , 10 ,,
period1,sc01,t2561, 45 , 45 ,,
period1,sc01,t2562, 45 , 45 ,,
period1,sc01,t2563, 45 , 45 ,,
period1,sc01,t2564, 45 , 45 ,,
period1,sc01,t2565, 45 , 45 ,,
period1,sc01,t2566, 45 , 45 ,,
period1,sc01,t2567, 45 , 45 ,,
period1,sc01,t2568, 45 , 45 ,,
period1,sc01,t2569, 45 , 45 ,,
period1,sc01,t2570, 45 , 45 ,,
period1,sc01,t2571, 45 , 45 ,,
period1,sc01,t2572, 45 , 45 ,,
period1,sc01,t2573, 45 , 45 ,,
period1,sc01,t2574, 45 , 45 ,,
period1,sc01,t2575, 45 , 45 ,,
period1,sc01,t2576, 45 , 45 ,,
period1,sc01,t2577, 45 , 45 ,,
period1,sc01,t2578, 45 , 45 ,,
period1,sc01,t2579, 10 , 10 ,,
period1,sc01,t2580, 10 , 10 ,,
period1,sc01,t2581, 10 , 10 ,,
period1,sc01,t2582, 10 , 10 ,,
period1,sc01,t2583, 10 , 10 ,,
period1,sc01,t2584, 10 , 10 ,,
period1,sc01,t2585, 45 , 45 ,,
period1,sc01,t2586, 45 , 45 ,,
period1,sc01,t2587, 45 , 45 ,,
period1,sc01,t2588, 45 , 45 ,,
period1,sc01,t2589, 45 , 45 ,,
period1,sc01,t2590, 45 , 45 ,,
period1,sc01,t2591, 45 , 45 ,,
period1,sc01,t2592, 45 , 45 ,,
period1,sc01,t2593, 45 , 45 ,,
period1,sc01,t2594, 45 , 45 ,,
period1,sc01,t2595, 45 , 45 ,,
period1,sc01,t2596, 45 , 45 ,,
